0	1	139347	139347	141041
1	5	17106	17106	17871
2	0	40297	40297	41051
3	5	37077	37077	37305
4	1	41784	41784	42945
5	2	55257	55257	55331
6	2	15741	15741	19461
7	0	71480	71782	73000
8	1	87921	87921	91463
9	2	111785	111785	114575
10	5	74718	74718	75432
11	7	89369	104876	108012
12	2	39025	39025	40273
13	2	44745	44745	45057
14	1	168915	168915	170455
15	0	97922	97922	99374
16	2	58069	58069	58624
17	1	91463	95598	96598
18	4	36046	36046	37598
19	6	130553	130553	132763
20	5	39405	39405	39657
21	4	10684	10684	11848
22	5	36501	36501	36561
23	2	7185	7185	10905
24	4	95240	95240	96792
25	1	177847	177847	178771
26	7	74400	74400	76050
27	7	46697	46697	46961
28	0	7502	7502	8426
29	7	45461	45461	45581
30	3	39817	41363	42364
31	1	67830	67830	68862
32	5	58143	58143	59418
33	7	42617	42617	42833
34	1	133495	133495	136729
35	7	108012	108012	111932
36	5	6549	6549	7518
37	1	6192	6192	6407
38	6	119333	119333	123923
39	5	36993	36993	37077
40	5	62121	62121	62427
41	3	28431	28784	30240
42	5	36393	36393	36501
43	3	91758	91758	91872
44	2	45057	45057	46201
45	4	80235	84570	89808
46	7	128592	128592	129180
47	7	49157	49157	49457
48	6	32129	32129	35069
49	5	92437	92437	93392
50	6	124433	124433	126643
51	5	14607	14607	15933
52	7	44537	44537	44561
53	1	44063	44063	44966
54	0	4805	4805	6719
55	7	77100	77100	79500
56	1	113321	113321	117171
57	7	135452	135452	141332
58	0	133942	133942	134166
59	2	46201	46201	46617
60	0	58102	58102	58218
61	2	91325	91325	95603
62	7	48593	48593	48749
63	1	25421	25421	25751
64	3	115609	119456	123824
65	2	19461	19461	20949
66	3	47304	47304	48411
67	5	19197	36093	36237
68	4	116944	116944	120124
69	2	41885	41885	43289
70	0	63428	63428	64160
71	7	45113	45113	45329
72	7	49025	49025	49157
73	0	134486	134486	134598
74	7	42521	42521	42617
75	5	75432	75432	76503
76	7	129180	129180	133688
77	0	76538	76538	76886
78	1	170917	170917	173381
79	1	79530	79530	81630
80	7	43817	43817	43877
81	4	1954	1954	5834
82	5	73647	73647	74565
83	3	12917	14463	18149
84	7	42437	42437	42521
85	2	79793	79793	83699
86	3	71043	71043	73011
87	7	49457	64350	68700
88	1	28017	28017	28347
89	4	53700	53700	56998
