HEADER	1	3	200	3	9
BOM	0	0	73
BOM	1	0	62
BOM	2	0	64
COMBI	0	0	0	0
COMBI	0	0	1	286
COMBI	0	0	2	1160
COMBI	0	1	0	151
COMBI	0	1	1	0
COMBI	0	1	2	705
COMBI	0	2	0	788
COMBI	0	2	1	1763
COMBI	0	2	2	0
ORDER	0	0	10851	46185	17	22508	1000	
ORDER	1	2	20336	66626	17	2941	1000	
ORDER	2	1	38358	76019	5	7910	1000	
ORDER	3	2	15610	55432	7	1211	1000	
ORDER	4	0	13307	56398	12	15888	1000	
ORDER	5	1	32631	69875	3	4746	1000	
ORDER	6	1	60475	93685	10	15820	1000	
ORDER	7	2	47878	95521	19	3287	1000	
ORDER	8	0	28046	73051	2	2648	1000	
ORDER	9	0	38112	71478	9	11916	1000	
ORDER	10	0	52524	92998	9	11916	1000	
ORDER	11	2	23434	72448	14	2422	1000	
ORDER	12	2	40238	90060	1	173	1000	
ORDER	13	0	39478	72918	19	25156	1000	
ORDER	14	2	23545	71359	19	3287	1000	
ORDER	15	1	61912	94312	11	17402	1000	
ORDER	16	1	38253	80467	7	11074	1000	
ORDER	17	1	18318	52426	6	9492	1000	
ORDER	18	1	43677	82529	4	6328	1000	
ORDER	19	2	37325	69389	2	346	1000	
ORDER	20	0	20962	64969	4	5296	1000	
ORDER	21	1	6787	48337	3	4746	1000	
ORDER	22	1	29675	62946	19	30058	1000	
ORDER	23	1	45771	84878	10	15820	1000	
ORDER	24	0	29567	74571	17	22508	1000	
ORDER	25	1	28124	78038	13	20566	1000	
ORDER	26	2	51798	98545	8	1384	1000	
ORDER	27	1	58515	90094	20	31640	1000	
ORDER	28	2	53357	98511	15	2595	1000	
ORDER	29	0	52998	90257	2	2648	1000	
ORDER	30	2	21773	54250	6	1038	1000	
ORDER	31	1	46182	83670	9	14238	1000	
ORDER	32	2	42962	80746	10	1730	1000	
ORDER	33	1	46811	95250	8	12656	1000	
ORDER	34	1	5933	38458	15	23730	1000	
ORDER	35	1	59585	99131	16	25312	1000	
ORDER	36	1	26882	64860	9	14238	1000	
ORDER	37	1	20159	65185	16	25312	1000	
