653	0	15529	15529	16375
624	0	16375	16375	16469
272	0	16469	25062	25251
103	0	25251	25251	25278
107	0	25370	34521	35327
586	0	35327	35327	36071
433	0	36071	36071	37001
592	0	37001	37001	37125
333	0	37125	38060	42400
86	0	42400	42400	46895
888	0	46895	46895	50150
821	0	50150	50150	50615
421	0	50615	51550	51798
457	0	52099	52099	52595
654	0	52595	52595	54269
876	0	54269	55204	59544
554	0	59544	69007	71113
197	0	71113	74621	74648
386	0	74648	74648	74828
186	0	74828	74828	75098
496	0	75098	75098	75341
806	0	75341	79403	79460
63	0	79460	79460	79469
985	0	79469	79469	79475
939	0	79475	79475	79553
518	0	79553	79553	79610
369	0	79610	79610	79682
42	0	79682	79682	79760
920	0	79760	79760	79793
222	0	79793	79793	79853
62	0	79853	79853	79859
242	0	79859	79859	79892
166	0	79892	79892	79895
755	0	79895	79895	79964
314	0	79964	79964	80054
16	0	80054	80054	80126
172	0	80126	80126	80162
50	0	80162	84224	84467
594	0	84467	90300	91680
10	0	91680	93041	94177
131	0	94177	94177	95952
322	0	95952	97313	98210
573	0	98210	101534	102218
281	0	102218	104753	104947
875	0	104947	104947	105141
938	0	105141	105231	105496
565	0	105496	105669	106227
471	0	106227	106400	107354
461	0	107354	109907	110688
690	0	110688	110688	111824
731	0	111824	114377	115384
989	0	115384	115557	117231
208	0	117231	117231	118471
475	0	118751	118751	119991
495	0	119991	119991	121107
64	0	121107	121280	122658
13	0	122658	122658	123135
525	0	123135	129985	130054
148	0	130054	130054	130081
720	0	130081	130759	131044
358	0	131044	131044	131120
679	0	131120	131120	131348
699	0	131348	132026	132110
840	0	132110	132788	133168
549	0	133168	133168	133643
463	0	133643	134321	134351
934	0	134351	134351	134435
923	0	134435	134435	134504
833	0	134504	134504	134546
331	0	134546	135224	135623
580	0	135623	135623	135737
728	0	135737	135737	136288
831	0	136288	136966	137020
382	0	137020	137020	137059
400	0	137059	137059	137125
115	0	137125	137125	137134
402	0	137134	137134	137191
706	0	137191	146820	148521
9	0	148521	148521	150465
772	0	150465	150465	151761
317	0	151761	151761	152085
53	0	152085	152085	153543
170	0	153543	153543	155325
265	0	155325	155325	155973
420	0	155973	155973	158241
332	0	158241	158241	159132
256	0	159132	159132	160104
863	0	160104	160104	160752
401	0	160752	160752	163020
316	0	163020	163020	165369
729	0	165369	167434	169434
399	0	169434	171572	173276
995	0	173276	180698	180758
672	0	180758	181436	181569
855	0	181569	181569	181626
881	0	181626	182304	182307
727	0	182307	182307	182346
950	0	182346	186408	186570
879	0	186570	195721	197023
437	0	197023	197023	198077
114	0	198077	198077	198821
230	0	198821	207972	208233
568	0	208233	208233	208269
368	0	208269	208269	208413
857	0	208413	208413	208467
615	0	208467	208467	208485
165	0	208485	208485	208575
92	0	208575	208575	208629
852	0	208629	208629	208746
283	0	208746	208746	208899
6	0	208899	208899	208908
294	0	208908	208908	209142
902	0	209142	209142	209385
768	0	209385	209385	209565
972	0	209565	209565	209736
454	0	209736	209736	209799
527	0	209799	209799	209817
